,CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart
Celegans,0.8472222222222222,0.6203703703703703,0.6666666666666666,0.47685185185185186,0.4444444444444444,0.4305555555555556,0.44907407407407407,0.5972222222222222
facebook,0.972430224642614,0.9296573632856818,0.9407760381211708,0.5856591785795325,0.4134331744951214,0.33185840707964603,0.8782618561379624,0.8639664170637622
NS,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.43722943722943725,0.2683982683982684,0.21212121212121213,0.9393939393939394,0.9307359307359307
PB,0.8771929824561403,0.6854204476709014,0.7549909255898367,0.6848154869933454,0.5644283121597096,0.5178463399879008,0.6497277676950998,0.617664851784634
Power,0.19469026548672566,0.19469026548672566,0.19469026548672566,0.22123893805309736,0.21460176991150443,0.15265486725663716,0.6128318584070797,0.6305309734513275
Router,0.22794117647058823,0.22794117647058823,0.22794117647058823,0.6654411764705882,0.6213235294117647,0.4963235294117647,0.5955882352941176,0.6139705882352942
USAir,0.8995215311004785,0.7416267942583732,0.7990430622009569,0.7129186602870813,0.583732057416268,0.5119617224880383,0.631578947368421,0.6220095693779905
Yeast,0.8150134048257373,0.8150134048257373,0.8150134048257373,0.6032171581769437,0.46559428060768543,0.38873994638069703,0.8498659517426274,0.8820375335120644
