,CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart
Celegans,0.8415267011197243,0.7835055986218777,0.8565568475452197,0.7566752799310938,0.7317721791559001,0.7593023255813953,0.8416020671834625,0.8863479758828595
facebook,0.9881523303461035,0.9862677715726167,0.9893260249170989,0.8326779446625049,0.7352067736396368,0.8085239929176131,0.9879362878995415,0.9903537531049817
NS,0.9729701193115826,0.9744923098581634,0.9737708091366627,0.6842378488719952,0.5286752542850104,0.5268275085348255,0.9899341850561363,0.9910780276633936
PB,0.9140184360238807,0.8674217599467146,0.9159064556637152,0.9051342218311365,0.8735017293320378,0.9064495530012772,0.9219658013895764,0.9274979070804843
Power,0.5973451327433629,0.5973451327433629,0.5973451327433629,0.5296498653328203,0.5207137360523278,0.5612947287418237,0.7743439784532512,0.8123566756444788
Router,0.6118639380530974,0.6115589211348257,0.611920874544508,0.9273327693909421,0.9151727615825092,0.9384841879229567,0.6756002732951588,0.7169646343050493
USAir,0.9474151009452677,0.9118450227564475,0.9581281363052865,0.8989730423620026,0.861605788306687,0.8919477185202473,0.9323024857042829,0.9455128953203409
Yeast,0.9019565465437703,0.9018461930544764,0.9028926772755931,0.858218669811533,0.794513474369257,0.8523066377832024,0.9678205060935946,0.9765326017521635
